"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","W4Efsd 7"
"https://www.google.com/maps/place/Borobudur+Printing/data=!4m7!3m6!1s0x2e68e65b605ec3ff:0x3cc5122c08ae992!8m2!3d-6.9000196!4d107.6039965!16s%2Fg%2F1hc8ypd0j!19sChIJ_8NeYFvmaC4RkumKwCJRzAM?authuser=0&hl=id&rclk=1","Borobudur Printing","4,2","(160)","Toko Percetakan","·","·","Jl. Cihampelas No.85","Tutup","·","0851-8686-2285","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","print","· Buka Sen pukul 08.00"
"https://www.google.com/maps/place/MOTUBA2T+STICKER+MAKER/data=!4m7!3m6!1s0x2e68e79849a1093b:0xf3f9416a29f78ffb!8m2!3d-6.8941492!4d107.6082381!16s%2Fg%2F11wg47lv5b!19sChIJOwmhSZjnaC4R-4_3KWpB-fM?authuser=0&hl=id&rclk=1","MOTUBA2T STICKER MAKER","5,0","(5)","Printer Digital","·","Jl. Kebun Binatang No.20","","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Real store stiker maker 👌""","",""
"https://www.google.com/maps/place/Bola+Dunia/data=!4m7!3m6!1s0x2e68e6457f4a5bf3:0xb6201ad1042d25ef!8m2!3d-6.8999396!4d107.6091803!16s%2Fg%2F1hc3mqk4l!19sChIJ81tKf0XmaC4R7yUtBNEaILY?authuser=0&hl=id&rclk=1","Bola Dunia","4,4","(240)","Toko Fotokopi","·","·","Jl. Tamansari No.27 A","Tutup","·","0895-2482-0006","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","print","· Buka Sen pukul 07.15"
"https://www.google.com/maps/place/Fotocopy+Bandung/data=!4m7!3m6!1s0x2e68e7006e3c1483:0x11ac2758abb4d198!8m2!3d-6.8950616!4d107.6090799!16s%2Fg%2F11x83wgq98!19sChIJgxQ8bgDnaC4RmNG0q1gnrBE?authuser=0&hl=id&rclk=1","Fotocopy Bandung","5,0","(1)","Layanan cetak digital","·","Jl. Tamansari No.60","·","Tutup","","0851-8763-5665","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Print","· Buka Sen pukul 08.00"
"https://www.google.com/maps/place/Bandung+Printing/data=!4m7!3m6!1s0x2e68e65472b0fedf:0x8520e260b762cfa6!8m2!3d-6.8913297!4d107.6171156!16s%2Fg%2F11bztgs7g9!19sChIJ3_6wclTmaC4Rps9it2DiIIU?authuser=0&hl=id&rclk=1","Bandung Printing","4,1","(348)","Printer Digital","·","·","Tutup","· Buka Sen pukul 09.00","Jl. Dipati Ukur No.45","0811-2487-878","https://wa.me/message/E5NBMOBMYILID1","","Situs Web","","Rute","","","","·"
"https://www.google.com/maps/place/Nur+Printing+Solution/data=!4m7!3m6!1s0x2e68e6507db5da35:0x447cec776ea46843!8m2!3d-6.8949722!4d107.6109237!16s%2Fg%2F11b6nj85s1!19sChIJNdq1fVDmaC4RQ2ikbnfsfEQ?authuser=0&hl=id&rclk=1","Nur Printing Solution","5,0","(8)","Toko Percetakan","·","·","Jl. Gelap Nyawang No.5B","Tutup","·","0857-2207-1800","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Order kecil pun dilayani maksimal.""","","· Buka Sen pukul 08.00"
"https://www.google.com/maps/place/rtch+print+shop/data=!4m7!3m6!1s0x2e68e704b8b87427:0x3c151541104dc9e8!8m2!3d-6.8904025!4d107.6050843!16s%2Fg%2F11s2lsmw1d!19sChIJJ3S4uATnaC4R6MlNEEEVFTw?authuser=0&hl=id&rclk=1","rtch print shop","5,0","(6)","Layanan cetak digital","·","Jl. Cihampelas No.31/35b","","","","0812-2025-7818","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pokonya tidak bakalan kecewa hasilnya""","",""
"https://www.google.com/maps/place/AKHBAR+PRINT/data=!4m7!3m6!1s0x2e68e6567564513b:0x62c481d596518d35!8m2!3d-6.8883772!4d107.6156723!16s%2Fg%2F1hc6295vc!19sChIJO1FkdVbmaC4RNY1RltWBxGI?authuser=0&hl=id&rclk=1","AKHBAR PRINT","4,5","(190)","Layanan cetak digital","·","·","Jl. Dipati Ukur No.88","Tutup","·","0812-1423-2144","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Print","· Buka Sen pukul 09.00"
"https://www.google.com/maps/place/Gugum+Print+Photocopy+dan+Percetakan/data=!4m7!3m6!1s0x2e68e65389126ca5:0xa9e3f5df79758301!8m2!3d-6.8921085!4d107.6176028!16s%2Fg%2F11b60qyl9g!19sChIJpWwSiVPmaC4RAYN1ed_146k?authuser=0&hl=id&rclk=1","Gugum Print Photocopy dan Percetakan","4,5","(212)","Layanan cetak digital","·","·","Jl. Dipati Ukur No.42/60","Buka 24 jam","·","0818-0224-7051","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bisa order","print",""
"https://www.google.com/maps/place/Yusuf+Jaka+Maulana/data=!4m7!3m6!1s0x2e68e708f732cab5:0x1ac62a9d06a8b33f!8m2!3d-6.8928129!4d107.6102129!16s%2Fg%2F11sy71d_lh!19sChIJtcoy9wjnaC4RP7OoBp0qxho?authuser=0&hl=id&rclk=1","Yusuf Jaka Maulana","","","Toko Percetakan","·","Jalan Purwakarta 4 No.33, Jl. Ganesa No.10","·","Buka 24 jam","","0813-1249-6485","","","Rute","","","","Pesan antar","",""
"https://www.google.com/maps/place/SALMAN+FOTOCOPY+CENTER/data=!4m7!3m6!1s0x2e68e7a88e3de907:0x23f7f025e8955810!8m2!3d-6.8945008!4d107.6110438!16s%2Fg%2F11t9_6twks!19sChIJB-k9jqjnaC4REFiV6CXw9yM?authuser=0&hl=id&rclk=1","SALMAN FOTOCOPY CENTER","4,5","(11)","Toko Percetakan","·","Jl. Ganesa 7, Toko No.10","·","Tutup","","0857-9803-4205","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Print","· Buka Sen pukul 07.30"
"https://www.google.com/maps/place/JessTech+Barcode/data=!4m7!3m6!1s0x2e68e64569c1a57d:0xda8f9d2ea0da7ce5!8m2!3d-6.8987236!4d107.6086867!16s%2Fg%2F11g86pknsq!19sChIJfaXBaUXmaC4R5XzaoC6dj9o?authuser=0&hl=id&rclk=1","JessTech Barcode","4,9","(173)","Toko Elektronik","·","Baltos, Jl. Tamansari No.8","·","Tutup","","0812-2110-7071","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""printer imo kualitasnya oke untuk cetak presitermal""","","· Buka Sen pukul 10.00"
"https://www.google.com/maps/place/RAY+Stamp+Production/data=!4m7!3m6!1s0x2e68e7f9598f0ea7:0x74a80a7c72c5c6c5!8m2!3d-6.8988135!4d107.6087699!16s%2Fg%2F11n16ntqpt!19sChIJpw6PWfnnaC4RxcbFcnwKqHQ?authuser=0&hl=id&rclk=1","RAY Stamp Production","5,0","(58)","Toko Percetakan","·","Jalan Tamansari Gedung Balubur Town Square (Baltos Lantai Dasar 1 Blok S Nomor 02 ( D1-S-02","Tutup","· Buka Sen pukul 08.30","·","0881-7859-361","https://linktr.ee/raystampproduction","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""yg mau bikin apapun inshaAllah bisa cetak disini!""","",""
"https://www.google.com/maps/place/The+Bliss+Space+Self+Photo+Dago/data=!4m7!3m6!1s0x2e68e7b0fdbf9d97:0x775e504f24bffc8a!8m2!3d-6.895273!4d107.6131164!16s%2Fg%2F11k50n3rmt!19sChIJl52__bDnaC4Rivy_JE9QXnc?authuser=0&hl=id&rclk=1","The Bliss Space Self Photo Dago","4,6","(24)","Studio Fotografi","·","Jl. Ir. H. Juanda No.98","Segera tutup","· 21.00 · Buka Sel pukul 13.00","·","0819-0505-2271","https://instagram.com/thebliss.space?igshid=YWJhMjlhZTc=","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pas di cetak juga kualitas cetakannya bagus.""","",""
"https://www.google.com/maps/place/Zoro+printing+bandung/data=!4m7!3m6!1s0x2e68e7dd7ddbba63:0xfc3b82546ffb9376!8m2!3d-6.8988135!4d107.6087699!16s%2Fg%2F11vf19621g!19sChIJY7rbfd3naC4RdpP7b1SCO_w?authuser=0&hl=id&rclk=1","Zoro printing bandung","","","Toko Sablon","·","Balubur Town Square","·","Tutup","","0895-3204-05978","","","Rute","","","","Pesan antar","","· Buka Sen pukul 10.00"
"https://www.google.com/maps/place/AMG+3D+Print+%26+Engineering/data=!4m7!3m6!1s0x2e68e70002c3b7ad:0x6d168b625895d87!8m2!3d-6.8985948!4d107.6090831!16s%2Fg%2F11x8cqq94g!19sChIJrbfDAgDnaC4Rh12JJbZo0QY?authuser=0&hl=id&rclk=1","AMG 3D Print & Engineering","5,0","(39)","Jasa percetakan 3D","·","Balubur Town Square Lantai L1 Blok C No.8","Tutup","· Buka Sen pukul 10.00","·","0887-7646-329","https://amg3dprint.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cocok banget buat yang mau coba 3D printing, Materialnya variatif ✨️✨️""","",""
"https://www.google.com/maps/place/Irma+digital+print/data=!4m7!3m6!1s0x2e68e73c4ad3aeb7:0x4438da58d4d63242!8m2!3d-6.8756!4d107.6062614!16s%2Fg%2F11t7_d543v!19sChIJt67TSjznaC4RQjLW1FjaOEQ?authuser=0&hl=id&rclk=1","Irma digital print","4,8","(12)","Printer Digital","·","Jl. Bukit Jarian No.44","·","Buka","","0812-2285-5305","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat","print","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Family+Internet+%26+Print/data=!4m7!3m6!1s0x2e68e65268dde9e9:0x91a9e7a8525f3ea8!8m2!3d-6.8961363!4d107.6174767!16s%2Fg%2F1pzs29sny!19sChIJ6endaFLmaC4RqD5fUqjnqZE?authuser=0&hl=id&rclk=1","Family Internet & Print","4,0","(5)","Toko Percetakan","·","Jl. Singa Perbangsa No.1B","·","Buka","","0852-2264-8971","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""bisa online terus tinggal ambil kesana.""","","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Angkasa+Putra/data=!4m7!3m6!1s0x2e68e64474760987:0x3cdb548b11e62c2e!8m2!3d-6.901164!4d107.604204!16s%2Fg%2F11c3v6znx_!19sChIJhwl2dETmaC4RLizmEYtU2zw?authuser=0&hl=id&rclk=1","Angkasa Putra","4,3","(1.464)","Printer Digital","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Cihampelas No.77","(022) 4241255","https://angkasaputra.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat yg tepat untuk kebutuhan fotocopy, laminating, printing dll 👍""","","·"
"https://www.google.com/maps/place/Print/data=!4m7!3m6!1s0x2e68e7ebe5e5c77f:0x89ac506141a29838!8m2!3d-6.8805841!4d107.6119782!16s%2Fg%2F11h3ghh7qs!19sChIJf8fl5evnaC4ROJiiQWFQrIk?authuser=0&hl=id&rclk=1","Print","5,0","(4)","Kantor Perusahaan","·","Jl. Cisitu Lama No.42","","","","0821-2439-7773","","","Rute","","","","","",""
"https://www.google.com/maps/place/Box+Computer/data=!4m7!3m6!1s0x2e68e6507c4d98ef:0xb3fb0e3ee951a378!8m2!3d-6.8948895!4d107.6102117!16s%2Fg%2F11b6cls0mh!19sChIJ75hNfFDmaC4ReKNR6T4O-7M?authuser=0&hl=id&rclk=1","Box Computer","5,0","(1)","Toko Alat Tulis Kantor","·","Jl. Gelap Nyawang No.Ruko 2, RW.2","·","Tutup","","(022) 2500850","","","Rute","","","","","","· Buka Sen pukul 08.00"
"https://www.google.com/maps/place/Jasa+Cetak+Buku+Yasin/data=!4m7!3m6!1s0x2e68e7ed733859bb:0xa02150564becfc4a!8m2!3d-6.8954525!4d107.6070635!16s%2Fg%2F11h2mk6zxm!19sChIJu1k4c-3naC4RSvzsS1ZQIaA?authuser=0&hl=id&rclk=1","Jasa Cetak Buku Yasin","4,6","(31)","Percetakan Komersial","·","Jl. Pelesiran No. 103/56 RT 02 RW 06 Kel","·","Tutup","","0853-1532-5335","","","Rute","","","","","","· Buka Sen pukul 09.00"
"https://www.google.com/maps/place/Araya+polyflex+dan+kaospolos/data=!4m7!3m6!1s0x2e68e64542b061ff:0x14c5f1b77b73492a!8m2!3d-6.89899!4d107.6087543!16s%2Fg%2F11c20qsjtr!19sChIJ_2GwQkXmaC4RKklze7fxxRQ?authuser=0&hl=id&rclk=1","Araya polyflex dan kaospolos","2,9","(29)","Toko Kaos","·","Balubur Town Square, Jl. Tamansari No.22 Lantai Dasar Blok P","·","Tutup","","0819-5899-9001","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dan juga disini bisa terima sablon ya .""","","· Buka Sen pukul 10.00"
"https://www.google.com/maps/place/Pitaprinter+Komputer+%26+Kasir/data=!4m7!3m6!1s0x2e68e7d219fbb05f:0x7290d81ea7a6a16e!8m2!3d-6.8989728!4d107.6081978!16s%2Fg%2F1pzq1l0cz!19sChIJX7D7GdLnaC4RbqGmpx7YkHI?authuser=0&hl=id&rclk=1","Pitaprinter Komputer & Kasir","","","Toko bahan makanan","·","Baltos Lt.1 Blok Q.01, Jl. Tamansari No.P2","Tutup","· Buka Sen pukul 10.00","·","0856-2220-099","https://belipitaprinterdimana.blogspot.com/","","Situs Web","","Rute","","Ambil di toko","Pesan antar",""
"https://www.google.com/maps/place/Cardiac+Ct-Scanning/data=!4m7!3m6!1s0x2e68e65110594145:0xc9516ec7edd276c3!8m2!3d-6.893825!4d107.613514!16s%2Fg%2F11b6t7b6wf!19sChIJRUFZEFHmaC4Rw3bS7cduUck?authuser=0&hl=id&rclk=1","Cardiac Ct-Scanning","4,6","(5)","Lab Foto","·","RS. Borromeus, Jl. Ir. H. Juanda","","","","(022) 2552092","","","Rute","","","","","",""
"https://www.google.com/maps/place/Jaya+Barokah+Fotokopi+%26+Print/data=!4m7!3m6!1s0x2e68e65d9279c49f:0xcbaf7088a7d3da54!8m2!3d-6.8939973!4d107.5986588!16s%2Fg%2F11fzb0dngj!19sChIJn8R5kl3maC4RVNrTp4hwr8s?authuser=0&hl=id&rclk=1","Jaya Barokah Fotokopi & Print","4,9","(15)","Toko Fotokopi","·","·","Jl. Sederhana No.37","Buka","·","0821-3012-1100","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat memuaskan hasilnya🤩🙏""","","· Tutup pukul 23.00"
"https://www.google.com/maps/place/CIRO+PHOTO/data=!4m7!3m6!1s0x2e68e78fcb23fa9b:0x8edeb27eda12919d!8m2!3d-6.892289!4d107.6054296!16s%2Fg%2F11r9g48sst!19sChIJm_ojy4_naC4RnZES2n6y3o4?authuser=0&hl=id&rclk=1","CIRO PHOTO","2,6","(20)","Fotografer Pernikahan","·","4J54+35M, The Jarrdin Apartment Cihamplas","·","Tutup","","0812-2220-2491","","","Rute","","","","","","· Buka Sen pukul 09.00"
"https://www.google.com/maps/place/BNI+Cabang+ITB/data=!4m7!3m6!1s0x2e68e65a6e94a05b:0xe80c7ff344cc467e!8m2!3d-6.894118!4d107.608724!16s%2Fg%2F1hm2xyycz!19sChIJW6CUblrmaC4RfkbMRPN_DOg?authuser=0&hl=id&rclk=1","BNI Cabang ITB","3,7","(119)","Bank","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Tamansari No.80","(022) 2504491","http://bni.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya baik dan cepat wlopun cs ga full tp pelayanannya cepat""","","·"
"https://www.google.com/maps/place/Visee+Studio+-+Self+Photo+Baltos/data=!4m7!3m6!1s0x2e68e737d90d6c1b:0xe2ec0e1e6d5dc800!8m2!3d-6.8985462!4d107.6091186!16s%2Fg%2F11krc7x2zr!19sChIJG2wN2TfnaC4RAMhdbR4O7OI?authuser=0&hl=id&rclk=1","Visee Studio - Self Photo Baltos","5,0","(782)","Photo booth","·","Baltos L1 D-47, Jl. Tamansari","Tutup","· Buka Sen pukul 11.00","·","0821-1777-2422","https://www.visee.studio/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus banget hasil cetak fotonya.""","",""
"https://www.google.com/maps/place/Sam+Komputer+%26+Digital+Print/data=!4m7!3m6!1s0x2e68e646882c4ac3:0xdaa04fc26aab5980!8m2!3d-6.9034609!4d107.606708!16s%2Fg%2F11c5b57g9y!19sChIJw0osiEbmaC4RgFmrasJPoNo?authuser=0&hl=id&rclk=1","Sam Komputer & Digital Print","4,9","(8)","Servis Komputer","·","Jl. Tamansari bawah no 54 RT RW 20","·","Segera tutup","","0822-2533-3603","","","Rute","","","","Janji temu online","","· 21.00 · Buka Sen pukul 10.30"
"https://www.google.com/maps/place/Surapati+House+of+Printing/data=!4m7!3m6!1s0x2e68e7b31fb95e5f:0xeafb911c0ed6c69d!8m2!3d-6.8989589!4d107.6201205!16s%2Fg%2F1pzsxyhgw!19sChIJX165H7PnaC4RncbWDhyR--o?authuser=0&hl=id&rclk=1","Surapati House of Printing","3,9","(250)","Toko Percetakan","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Surapati Kel No.55D","(022) 2531400","http://www.instagram.com/surapatihop","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tiap hari","print","·"
"https://www.google.com/maps/place/SevenTex+Baltos/data=!4m7!3m6!1s0x2e68e7cc2c819c13:0xc3c2bcbe453feac3!8m2!3d-6.8988358!4d107.6084404!16s%2Fg%2F11t3212fk2!19sChIJE5yBLMznaC4Rw-o_Rb68wsM?authuser=0&hl=id&rclk=1","SevenTex Baltos","3,5","(8)","Toko Tekstil","·","Balubur Town Square, Lantai D1 Blok A No 5 sampai 9, Jl. Tamansari No.9","Tutup","· Buka Sen pukul 09.00","·","0812-2229-5775","https://linktr.ee/seventexbaltos","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jadi pas nemu ig nya langsung deh follow dan beli via online.""","",""
"https://www.google.com/maps/place/R24+Jasa+Print,+ATK,+Service+PC+Laptop,+Media+Promo./data=!4m7!3m6!1s0x2e68e7f4af1435bd:0x7d12923df0a06622!8m2!3d-6.8823635!4d107.597858!16s%2Fg%2F11tc8kdh9q!19sChIJvTUUr_TnaC4RImag8D2SEn0?authuser=0&hl=id&rclk=1","R24 Jasa Print, ATK, Service PC Laptop, Media Promo.","5,0","(1)","Toko Alat Tulis Kantor","·","Jl. Damar No.24, RT.05/RW.01","·","Segera tutup","","0817-212-761","","","Rute","","","","","","· 21.00 · Buka Sen pukul 08.00"
"https://www.google.com/maps/place/45+Photocopy+%26+Print/data=!4m7!3m6!1s0x2e68e7565afc1185:0xb92cfc28e0050030!8m2!3d-6.8934382!4d107.5988139!16s%2Fg%2F11hy_5728w!19sChIJhRH8WlbnaC4RMAAF4Cj8LLk?authuser=0&hl=id&rclk=1","45 Photocopy & Print","5,0","(10)","Percetakan Komersial","·","Jl. Sederhana No.45","·","Buka","","0812-2327-2699","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Toko ATK, Photocopy serta","print","· Tutup pukul 22.30"
"https://www.google.com/maps/place/Azqa+Printing/data=!4m7!3m6!1s0x2e68e7e9bf30a50f:0xe617b985fc675946!8m2!3d-6.888978!4d107.5929365!16s%2Fg%2F11sb3tw5g9!19sChIJD6Uwv-nnaC4RRlln_IW5F-Y?authuser=0&hl=id&rclk=1","Azqa Printing","4,9","(36)","Toko Percetakan","·","Jl. Sukagalih Gg. H. Gojali 10 No.16, RT.04/RW.05","·","Buka 24 jam","","0821-1798-2424","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Azqa printing bagus the best bintang 5 deh bagus lengkap banget""","",""
"https://www.google.com/maps/place/RED+DIGITAL+-+Stiker+A3+Digital+Print+Label+Brosur+Spanduk+Wallpaper+Sticker/data=!4m7!3m6!1s0x2e68e6f455dda263:0xf68247f1c39edcad!8m2!3d-6.8846219!4d107.6009142!16s%2Fg%2F1hm42t542!19sChIJY6LdVfTmaC4Rrdyew_FHgvY?authuser=0&hl=id&rclk=1","RED DIGITAL - Stiker A3 Digital Print Label Brosur Spanduk Wallpaper Sticker","4,4","(56)","Layanan cetak digital","·","·","Jl. Jurang No.103","Tutup","·","0811-2339-559","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""RED DIGITAL, cetak stiker digital meteran.""","","· Buka Sen pukul 09.30"
"https://www.google.com/maps/place/Copy+Digital+Print/data=!4m7!3m6!1s0x2e68e6fdcbfa9153:0x6b28c599e19cbab8!8m2!3d-6.8805992!4d107.6189012!16s%2Fg%2F11fzb0zd_m!19sChIJU5H6y_3maC4RuLqc4ZnFKGs?authuser=0&hl=id&rclk=1","Copy Digital Print","3,0","(1)","Toko Fotokopi","·","4J99+QH6","","","","0822-1412-8123","","","Rute","","","","","",""
