"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Citra+Karya+Lestari.+PT/data=!4m7!3m6!1s0x2e68e64532749ca5:0x74884843fdfbe007!8m2!3d-6.897648!4d107.607497!16s%2Fg%2F1pzwhqkr7!19sChIJpZx0MkXmaC4RB-D7_UNIiHQ?authuser=0&hl=id&rclk=1","Citra Karya Lestari. PT","5,0","(1)","Jl. Kb. Bibit Utara I No.324","","","","","","0852-2297-7254","","Rute","","","","","","",""
"https://www.google.com/maps/place/Apotek+Nusa+Indah/data=!4m7!3m6!1s0x2e68e6542dbc9983:0x1df82a7f6f0bdf93!8m2!3d-6.8894181!4d107.6161957!16s%2Fg%2F1tdg0mzp!19sChIJg5m8LVTmaC4Rk98Lb38q-B0?authuser=0&hl=id&rclk=1","Apotek Nusa Indah","4,4","(47)","Apotek","·","·","Tutup","· Buka Sen pukul 07.00","Apotek Nusa Indah samping hotel Neo, Jl. Dipati Ukur dalam No.76","(022) 2508256","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kisaran 200-250 klo sakitnya ringan bisa kurang dr 200 .""","","","","","·"
"https://www.google.com/maps/place/Apotek+Surapati/data=!4m7!3m6!1s0x2e68e7b2e2d612df:0xd3f239975fdbed54!8m2!3d-6.8987011!4d107.6155186!16s%2Fg%2F1tqhmghq!19sChIJ3xLW4rLnaC4RVO3bX5c58tM?authuser=0&hl=id&rclk=1","Apotek Surapati","4,6","(65)","Apotek","·","Jl. Surapati No.23","Tutup","· Buka Sen pukul 08.00","·","(022) 2502467","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apotiknya cukup lengkap...pelayanan ramah..harga cukup bersaing""","","","","",""
"https://www.google.com/maps/place/Apotek+Parahyangan+Suite/data=!4m7!3m6!1s0x2e68e775c52ced09:0x865adce5bf309a62!8m2!3d-6.8873244!4d107.5962445!16s%2Fg%2F11yv_19wph!19sChIJCe0sxXXnaC4RYpowv-XcWoY?authuser=0&hl=id&rclk=1","Apotek Parahyangan Suite","5,0","(5)","Apotek","·","Jl. Karang Tinggal","Buka","· Tutup pukul 22.00","","","","Rute","","","","","","",""
"https://www.google.com/maps/place/Apotek+Kimia+Farma+14/data=!4m7!3m6!1s0x2e68e65b605ec3ff:0x97aff5024bc4be18!8m2!3d-6.9058623!4d107.6040845!16s%2Fg%2F1tmx5syx!19sChIJ_8NeYFvmaC4RGL7ESwL1r5c?authuser=0&hl=id&rclk=1","Apotek Kimia Farma 14","4,4","(370)","Apotek","·","·","Buka","·","· Tutup pukul 22.00","0811-2157-642","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Area","http://kimiafarmaapotek.co.id/","","Rute","","Jl. Cihampelas No.7"
"https://www.google.com/maps/place/Apotek+Adika/data=!4m7!3m6!1s0x2e68e6fc6440bb4b:0x9db33848dc01ec0a!8m2!3d-6.8792707!4d107.6166617!16s%2Fg%2F1tlzrqbf!19sChIJS7tAZPzmaC4RCuwB3Eg4s50?authuser=0&hl=id&rclk=1","Apotek Adika","4,1","(49)","Apotek","·","·","Buka","· Tutup pukul 20.00","Jl. Ir. H. Juanda No.306","(022) 2503941","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kalo sakit pasti datengnya ke dokter sanjaya nya dan baik bgt""","","","","","·"
"https://www.google.com/maps/place/Apotek+Kimia+Farma+Pasir+Kaliki/data=!4m7!3m6!1s0x2e68e896313001b3:0x620bae0989ced156!8m2!3d-6.8973257!4d107.5971179!16s%2Fg%2F1pzxjjdrp!19sChIJswEwMZboaC4RVtHOiQmuC2I?authuser=0&hl=id&rclk=1","Apotek Kimia Farma Pasir Kaliki","4,7","(407)","Apotek","·","·","Buka 24 jam","·","","0811-2157-645","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""❤️
Apoteknya bersih, obat lengkap, dan staff-nya cepat tanggap membantu.""","http://kimiafarmaapotek.co.id/","","Rute","","Jl. Pasir Kaliki No.235"
"https://www.google.com/maps/place/Apotek+Titiran+dan+Praktek+Dokter+Umum/data=!4m7!3m6!1s0x2e68e7cec0bb18d3:0x5f6d4154a3c447ea!8m2!3d-6.8955685!4d107.6195917!16s%2Fg%2F11vbdmrqzt!19sChIJ0xi7wM7naC4R6kfEo1RBbV8?authuser=0&hl=id&rclk=1","Apotek Titiran dan Praktek Dokter Umum","4,3","(12)","Apotek","·","Jl. Titiran No.23","Buka","· Tutup pukul 22.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Obat nya lengkap, harga terjangkau juga pelayanannya sangat baik 👍""","","","","",""
"https://www.google.com/maps/place/Asosiasi+Pendidikan+Tinggi+Farmasi+Indonesia+%28APTFI%29/data=!4m7!3m6!1s0x2e68e650bad2afc5:0x8d8c47575c125b6a!8m2!3d-6.8929224!4d107.6104369!16s%2Fg%2F11fpvb12qg!19sChIJxa_SulDmaC4RalsSXFdHjI0?authuser=0&hl=id&rclk=1","Asosiasi Pendidikan Tinggi Farmasi Indonesia (APTFI)","","","Asosiasi/organisasi","·","Sekolah Farmasi ITB, Jl. Ganesa No.10","","","","(022) 2534113","","Situs Web","","","http://aptfi.or.id/","","Rute","",""
"https://www.google.com/maps/place/Apotek+sekeloa+dan+praktek+dokter+umum/data=!4m7!3m6!1s0x2e68e7015e1c9e51:0x88e132e5bf9bd01f!8m2!3d-6.8887117!4d107.6186195!16s%2Fg%2F11s8hw6k47!19sChIJUZ4cXgHnaC4RH9Cbv-Uy4Yg?authuser=0&hl=id&rclk=1","Apotek sekeloa dan praktek dokter umum","4,4","(37)","Apotek","·","Jl. Sekeloa No.31","Buka","· Tutup pukul 22.00","·","0815-4718-4906","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Obat-obatan di apoteknya lengkap harga cukup terjangkau.""","","","","",""
"https://www.google.com/maps/place/Apotek+Beauderma/data=!4m7!3m6!1s0x2e68e64e724b77d9:0x208f3dcb9f50588b!8m2!3d-6.898688!4d107.6149661!16s%2Fg%2F11bbwz9y70!19sChIJ2XdLck7maC4Ri1hQn8s9jyA?authuser=0&hl=id&rclk=1","Apotek Beauderma","4,7","(15)","Apotek","·","Jl. Surapati No.17","Tutup","· Buka Sen pukul 08.00","·","0812-2112-0035","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apoteknya nyaman bersih pelayanannya baik dan cekatan mantap pokonya""","","","","",""
"https://www.google.com/maps/place/Baltos/data=!4m7!3m6!1s0x2e68e6457f3c4015:0x71d3cf14d89f7e76!8m2!3d-6.8987329!4d107.6085366!16s%2Fg%2F11gcfs_pbm!19sChIJFUA8f0XmaC4Rdn6f2BTP03E?authuser=0&hl=id&rclk=1","Baltos","4,3","(29.828)","Pusat Perbelanjaan","·","·","Buka","Pusat perbelanjaan simpel dengan resto","· Tutup pukul 20.00","0859-2036-0388","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tersedia berbagia barang dan kebutuhan lainnya dg harga yg terbaik""","https://www.baltos.id/","","Rute","","Jl. Tamansari"
"https://www.google.com/maps/place/Apotek+ananda+pratama/data=!4m7!3m6!1s0x2e68e7589385a9af:0x29e06ccc4e7df98c!8m2!3d-6.8849893!4d107.6182191!16s%2Fg%2F11hwbhk6yj!19sChIJr6mFk1jnaC4RjPl9Tsxs4Ck?authuser=0&hl=id&rclk=1","Apotek ananda pratama","4,9","(20)","Apotek","·","Jl. Tubagus Ismail No.31","Buka","· Tutup pukul 20.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apakah skrg apoteknya udh buka atau masih tutup?""","","","","",""
"https://www.google.com/maps/place/Apotek+Baladewa+Farma/data=!4m7!3m6!1s0x2e68e7fca7a73ec9:0xb10393404b0ee9ad!8m2!3d-6.90579!4d107.590591!16s%2Fg%2F11hfj7ljtf!19sChIJyT6np_znaC4RrekOS0CTA7E?authuser=0&hl=id&rclk=1","Apotek Baladewa Farma","4,2","(211)","Apotek","·","Jl. Baladewa No.1G","Buka","·","· Tutup pukul 22.00","0851-2645-1551","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan sangat baik, dokter sangat baik semua pelayanan sangat baik""","https://shopee.co.id/apotekbaladewafarma","","Rute","",""
"https://www.google.com/maps/place/Apotek+Fazza+Tikukur/data=!4m7!3m6!1s0x2e68e7b52ffbeec9:0xcc4d93f55ed4d14!8m2!3d-6.8973956!4d107.6222024!16s%2Fg%2F11j5dy_ctd!19sChIJye77L7XnaC4RFE3tVT_ZxAw?authuser=0&hl=id&rclk=1","Apotek Fazza Tikukur","4,4","(39)","Apotek","·","Jl. Tikukur No.30 B","Buka","· Tutup pukul 21.00","·","0821-1441-7887","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Obatnya murah-murah yah disini dan layanannya cepat""","","","","",""
"https://www.google.com/maps/place/Apotek+Kimia+Farma/data=!4m7!3m6!1s0x2e68e64607be821b:0xd31906ddacdd40b5!8m2!3d-6.9072216!4d107.6109727!16s%2Fg%2F1thszktg!19sChIJG4K-B0bmaC4RtUDdrN0GGdM?authuser=0&hl=id&rclk=1","Apotek Kimia Farma","4,2","(163)","Apotek","·","Jl. Merdeka No.68","Buka 24 jam","·","","0811-2157-641","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Service Excellent bgt karyawan shift malem nya, best KF ever""","http://kimiafarmaapotek.co.id/","","Rute","",""
"https://www.google.com/maps/place/Apotek+Alpro+Stasiun+Bandung/data=!4m7!3m6!1s0x2e68e7d5e545eae9:0x6f0c04cd2650f7d3!8m2!3d-6.9124588!4d107.6021266!16s%2Fg%2F11xf9zpy41!19sChIJ6epF5dXnaC4R0_dQJs0EDG8?authuser=0&hl=id&rclk=1","Apotek Alpro Stasiun Bandung","4,9","(183)","Apotek","·","Jalan Kebon Kawung No.22e, Pasir Kaliki, Kec. Cicendo","Buka","·","· Tutup pukul 22.00","0878-0632-8376","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""lengkap banget, gak cuma obat bahkan banyak product personal care""","https://apotekalpro.id/","","Rute","",""
"https://www.google.com/maps/place/Apotek+Atminah/data=!4m7!3m6!1s0x2e68e6f570cae50b:0x205c79b88c13dab7!8m2!3d-6.8871611!4d107.6004453!16s%2Fg%2F11b6d072jj!19sChIJC-XKcPXmaC4Rt9oTjLh5XCA?authuser=0&hl=id&rclk=1","Apotek Atminah","4,2","(5)","Apotek","·","Jl. Jurang No.No","Buka","· Tutup pukul 20.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""jika ada jadwal prakteknya hari dan jam berapa ?""","","","","",""
"https://www.google.com/maps/place/Apotek+Sederhana/data=!4m7!3m6!1s0x2e68e65d92e95a41:0x998328fe304c1d96!8m2!3d-6.891656!4d107.5992397!16s%2Fg%2F1pzrfvn1m!19sChIJQVrpkl3maC4Rlh1MMP4og5k?authuser=0&hl=id&rclk=1","Apotek Sederhana","3,2","(51)","Apotek","·","Jl. Sederhana No.77","Buka","·","· Tutup pukul 20.30","(022) 2030551","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cuma harga ny agak mahal dr","https://www.honestdocs.id/apotik/apotek-sederhana-bandung","","Rute","",""
"https://www.google.com/maps/place/Rumah+Sakit+Santo+Borromeus+Instalasi+Gawat+Darurat/data=!4m7!3m6!1s0x2e68e65105bde5cf:0xa07b97a3e2f05064!8m2!3d-6.8935468!4d107.6135134!16s%2Fg%2F1hm6mbpm6!19sChIJz-W9BVHmaC4RZFDw4qOXe6A?authuser=0&hl=id&rclk=1","Rumah Sakit Santo Borromeus Instalasi Gawat Darurat","3,8","(101)","Unit Gawat Darurat","·","·","Buka 24 jam","·","","(022) 2552000","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terimakasih ya atas kebaikan dokter, suster, dan semua staf disini.""","http://www.rsborromeus.com/","","Rute","","Jl. Ir. H. Juanda No.100"
"https://www.google.com/maps/place/Apotek+Kurnia+Farma+Sehat/data=!4m7!3m6!1s0x2e68e765b8ac0f77:0x95f536f3358f155!8m2!3d-6.8842369!4d107.6003199!16s%2Fg%2F11ft_67tb7!19sChIJdw-suGXnaC4RVfFYM29TXwk?authuser=0&hl=id&rclk=1","Apotek Kurnia Farma Sehat","4,6","(90)","Apotek","·","Jl. Cemara No.9, RW.01","Tutup","·","· Buka Sen pukul 08.00","0856-2481-9886","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nyaman, pelayanan cepat
Dokter spesialis recoment
Best pokonya""","https://www.gragazpharmacy.com/","","Rute","",""
"https://www.google.com/maps/place/Klinik+Utama+Revita+%26+Apotek+Revita/data=!4m7!3m6!1s0x2e68e6440b86fdbb:0xd12032a0d5128a88!8m2!3d-6.901476!4d107.6040304!16s%2Fg%2F11fx7p0yt9!19sChIJu_2GC0TmaC4RiIoS1aAyINE?authuser=0&hl=id&rclk=1","Klinik Utama Revita & Apotek Revita","4,3","(40)","Apotek","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Cihampelas No.73","0818-0993-5005","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Staff nya helpful banget""","","","","","·"
"https://www.google.com/maps/place/APOTEK+D.U/data=!4m7!3m6!1s0x2e68e65476f33131:0x5bd82ee87deb0bfb!8m2!3d-6.8916995!4d107.6175574!16s%2Fg%2F11vz3k6q6g!19sChIJMTHzdlTmaC4R-wvrfegu2Fs?authuser=0&hl=id&rclk=1","APOTEK D.U","4,5","(13)","Apotek","·","Jl. Dipati Ukur No.230, RT.007/RW.014","","","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pegawai","","","","",""
"https://www.google.com/maps/place/Apotek+Belitung/data=!4m7!3m6!1s0x2e68e63466645c85:0x95d475910cb24a8f!8m2!3d-6.9129567!4d107.6141135!16s%2Fg%2F11gcqdd4lv!19sChIJhVxkZjTmaC4Rj0qyDJF11JU?authuser=0&hl=id&rclk=1","Apotek Belitung","3,8","(10)","Apotek","·","No.4, 40113, no Jl. Belitung","Buka","· Tutup pukul 20.00","·","(022) 4220675","","Rute","","","","","","",""
"https://www.google.com/maps/place/APOTEK+AR+FARMA/data=!4m7!3m6!1s0x2e68e70079c9ea79:0xe940167111ac090!8m2!3d-6.9163292!4d107.5944384!16s%2Fg%2F11wn0s9mm8!19sChIJeerJeQDnaC4RkMAaEWcBlA4?authuser=0&hl=id&rclk=1","APOTEK AR FARMA","4,7","(44)","Apotek","·","Jl. Kebon Jati No.2OO","Buka","·","· Tutup pukul 21.00","0822-9503-7798","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya sangat strategis, pelayanan nya bagus, recomended apoteknya☺""","https://www.tiktok.com/@apotek_arfarma","","Rute","",""
"https://www.google.com/maps/place/Apotek+Altros+Dago/data=!4m7!3m6!1s0x2e68e6e2e73dcdd9:0x91f0ba55aca60751!8m2!3d-6.8749746!4d107.6189687!16s%2Fg%2F11bbx004qz!19sChIJ2c095-LmaC4RUQemrFW68JE?authuser=0&hl=id&rclk=1","Apotek Altros Dago","4,1","(16)","Apotek","·","·","Buka","· Tutup pukul 20.00","Jl. Ir. H. Juanda No.376","(022) 2512599","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Beli obat beberapa kali ga pernah dikasih kantong kresek.""","","","","","·"
"https://www.google.com/maps/place/Apotek+Vivi+Farma/data=!4m7!3m6!1s0x2e68e660057271fd:0x1c1e7a4753e8c247!8m2!3d-6.8881483!4d107.5972347!16s%2Fg%2F11b60n762g!19sChIJ_XFyBWDmaC4RR8LoU0d6Hhw?authuser=0&hl=id&rclk=1","Apotek Vivi Farma","4,5","(2)","Apotek","·","Jl. Sirnamanah No.3","Buka","· Tutup pukul 21.00","·","(022) 2031687","","Rute","","Pesan antar","","","","",""
"https://www.google.com/maps/place/Apotek+Cemara/data=!4m7!3m6!1s0x2e68e660401ae661:0x43a243b83c6256d4!8m2!3d-6.8841174!4d107.5959855!16s%2Fg%2F1tdqwvg6!19sChIJYeYaQGDmaC4R1FZiPLhDokM?authuser=0&hl=id&rclk=1","Apotek Cemara","4,4","(48)","Apotek","·","Jl. Karang Tinggal No.41B","Buka","· Tutup pukul 20.00","·","(022) 2042298","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tersedia juga multivitamin dan obat bebas juga obat dengan resep.""","","","","",""
"https://www.google.com/maps/place/Rumah+Sakit+Santo+Borromeus+:+Klinik+Fisiologi/data=!4m7!3m6!1s0x2e68e65105bde66d:0x68c164bb0d3883be!8m2!3d-6.8944043!4d107.6137175!16s%2Fg%2F1hm5d8_ck!19sChIJbea9BVHmaC4RvoM4DbtkwWg?authuser=0&hl=id&rclk=1","Rumah Sakit Santo Borromeus : Klinik Fisiologi","4,2","(26)","Departemen Rumah Sakit","·","·","","","","(022) 2552000","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""dan saya juga membayar sesuai dengan rincian tanpa protes.""","http://rsborromeus.com/","","Rute","","4J47+6FP"
"https://www.google.com/maps/place/Mitra+Medika+Apotek/data=!4m7!3m6!1s0x2e68e6483b20cc65:0x15f6da61fc9bda9d!8m2!3d-6.9024114!4d107.6152054!16s%2Fg%2F1tdv9_t0!19sChIJZcwgO0jmaC4Rndqb_GHa9hU?authuser=0&hl=id&rclk=1","Mitra Medika Apotek","4,0","(21)","Apotek","·","Jl. Trunojoyo No.52","Tutup","· Buka Sen pukul 10.00","·","0812-8379-3139","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayananya cukup baik dan memberikan informasi yg akurat .""","","","","",""
"https://www.google.com/maps/place/Apotek+Kimia+Farma+Supratman/data=!4m7!3m6!1s0x2e68e7c9da7a1207:0x80592ba8d41c6a70!8m2!3d-6.9042395!4d107.6288221!16s%2Fg%2F1hc0t_4ct!19sChIJBxJ62snnaC4RcGoc1KgrWYA?authuser=0&hl=id&rclk=1","Apotek Kimia Farma Supratman","4,2","(710)","Apotek","·","·","Buka 24 jam","·","","0811-2157-640","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Keberadaan","http://kimiafarmaapotek.co.id/","","Rute","","Jl. Supratman No.72"
"https://www.google.com/maps/place/Apotek+Nimagi/data=!4m7!3m6!1s0x2e68e7c02478ffb7:0xecc1d69753286f56!8m2!3d-6.889893!4d107.6001519!16s%2Fg%2F11nhyck0ql!19sChIJt_94JMDnaC4RVm8oU5fWwew?authuser=0&hl=id&rclk=1","Apotek Nimagi","","","Apotek","·","Jl. Jurang No.18","","","","0812-1409-8097","","Rute","","","","","","",""
"https://www.google.com/maps/place/Apotek+Setiabudhi/data=!4m7!3m6!1s0x2e68e693789fd831:0x7c5f54f4b63015ba!8m2!3d-6.8724036!4d107.5949106!16s%2Fg%2F11b60fs1pn!19sChIJMdifeJPmaC4RuhUwtvRUX3w?authuser=0&hl=id&rclk=1","Apotek Setiabudhi","4,1","(42)","Apotek","·","Jalan Dokter Setiabudhi. 170-D2, Hegarmanah, Sukasari","Buka","· Tutup pukul 20.00","·","2038212","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apoteknya lengkap bangett, pelayanannya juga best bangett.""","","","","",""
"https://www.google.com/maps/place/Apotek+Kimia+Farma+Lemahneundeut/data=!4m7!3m6!1s0x2e68d15413cbddb5:0x80a4ea8b739edc00!8m2!3d-6.8825!4d107.581045!16s%2Fg%2F11c1xg7fj8!19sChIJtd3LE1TRaC4RANyec4vqpIA?authuser=0&hl=id&rclk=1","Apotek Kimia Farma Lemahneundeut","4,7","(139)","Apotek","·","Jl. Lemahnendeut No.1E, RT.05/RW.04","Buka 24 jam","·","","0811-2157-652","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","http://kimiafarmaapotek.co.id/","","Rute","",""
"https://www.google.com/maps/place/APOTEK+HUMAIRAH+FARMA/data=!4m7!3m6!1s0x2e68e7b3aac5448b:0xd30e0910a27ea38b!8m2!3d-6.8993822!4d107.6246262!16s%2Fg%2F11v4f9vj08!19sChIJi0TFqrPnaC4Ri6N-ohAJDtM?authuser=0&hl=id&rclk=1","APOTEK HUMAIRAH FARMA","","","Apotek","","","","","","","","Rute","","","","","","",""
