"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Snapy+Digital+Print+%26+Design+Jalan+Panjang/data=!4m7!3m6!1s0x2e69f7a855555567:0xeec03274b3d2cfe4!8m2!3d-6.199337!4d106.768803!16s%2Fg%2F1s04wpzx3!19sChIJZ1VVVaj3aS4R5M_Ss3QywO4?authuser=0&hl=id&rclk=1","Snapy Digital Print & Design Jalan Panjang","4,9","(3.702)","Toko Percetakan","·","Jl. Panjang No.1, RT.11/RW.1","Segera tutup","· 00.00 · Buka Min pukul 07.00","·","0811-1320-4424","https://snapy.co.id/branch/snapy-jalan-panjang","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""hasil","print"
"https://www.google.com/maps/place/PELANGI+INDAH+Digital+Print+Kemanggisan/data=!4m7!3m6!1s0x2e69f6c3ab57c871:0xe473d4e9baf0eb72!8m2!3d-6.2008683!4d106.7837741!16s%2Fg%2F11b6dg8198!19sChIJcchXq8P2aS4RcuvwuunUc-Q?authuser=0&hl=id&rclk=1","PELANGI INDAH Digital Print Kemanggisan","3,7","(99)","Toko Percetakan","·","·","Tutup","· Buka Min pukul 09.00","Jl. Kyai H. Syahdan No.40, RT.2/RW.11","0888-1400-914","http://pelangiindah.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan cepat, hasil cetakan bagus dah pokoknya""",""
"https://www.google.com/maps/place/Pranata+Printing+-+Cetak+Kartu+Nama+%26+Brosur+Jakarta/data=!4m7!3m6!1s0x2e69f65a129d64f5:0x7fb9d19b2b7ffdc3!8m2!3d-6.1985592!4d106.7821127!16s%2Fg%2F11bxfs8gh1!19sChIJ9WSdElr2aS4Rw_1_K5vRuX8?authuser=0&hl=id&rclk=1","Pranata Printing - Cetak Kartu Nama & Brosur Jakarta","4,6","(113)","Percetakan Komersial","·","Jl. Kemanggisan Raya No.24, RT.3/RW.5","Tutup","· Buka Sen pukul 08.00","·","0858-1166-6645","https://www.pranataprinting.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantaf,harga bersaing kualitas nomor 1""",""
"https://www.google.com/maps/place/Foto+Copy+Digital+Multi+Silah/data=!4m7!3m6!1s0x2e69f7051fbc8efb:0x8e901e831f710a61!8m2!3d-6.1868246!4d106.7618744!16s%2Fg%2F11bz_3st3r!19sChIJ-468HwX3aS4RYQpxH4MekI4?authuser=0&hl=id&rclk=1","Foto Copy Digital Multi Silah","4,7","(27)","Toko Fotokopi","·","·","Jl. Kedoya Pesing No.4, RT.4/RW.3","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tmp fotocopy""",""
"https://www.google.com/maps/place/Bayou+Print+%26+Reklame/data=!4m7!3m6!1s0x2e69f718a2a355c5:0x8ae0d7c94b37bf69!8m2!3d-6.1982458!4d106.7633395!16s%2Fg%2F11glxrjzd6!19sChIJxVWjohj3aS4Rab83S8nX4Io?authuser=0&hl=id&rclk=1","Bayou Print & Reklame","5,0","(3)","Toko Percetakan","·","Jl. Meruya Ilir Raya No.5 5, RT.5/RW.1","·","Buka","· Tutup Min pukul 06.00","0852-8095-4269","","","Rute","","","","Pesan antar",""
"https://www.google.com/maps/place/Creative+Digital+Printing/data=!4m7!3m6!1s0x2e69f6c2d4505e6b:0xd21047a14c2a69da!8m2!3d-6.1927527!4d106.7821776!16s%2Fg%2F1hm50k0dh!19sChIJa15Q1ML2aS4R2mkqTKFHENI?authuser=0&hl=id&rclk=1","Creative Digital Printing","4,3","(6)","Toko Percetakan","·","Rawa Belong Rd No.40 5, RT.5/RW.13","·","Tutup","· Buka Sen pukul 09.30","(021) 5320990","","","Rute","","","","Pesan antar",""
"https://www.google.com/maps/place/Kreafindo+Print+Shop/data=!4m7!3m6!1s0x2e69f71f1101a5d5:0x2687ed8a8117881!8m2!3d-6.1969764!4d106.7667384!16s%2Fg%2F11bx8gvqd6!19sChIJ1aUBER_3aS4RgXgRqNh-aAI?authuser=0&hl=id&rclk=1","Kreafindo Print Shop","5,0","(1)","Toko Percetakan","·","Jl. Lapangan Bola No.9 E 3, RT.3/RW.10","","","","(021) 53653838","","","Rute","","","","",""
"https://www.google.com/maps/place/Aulya+Print+%26+Fotocopy/data=!4m7!3m6!1s0x2e69f6c32bbdad87:0x9f96511da5713bf3!8m2!3d-6.2009862!4d106.7826877!16s%2Fg%2F11y411qybk!19sChIJh629K8P2aS4R8ztxpR1Rlp8?authuser=0&hl=id&rclk=1","Aulya Print & Fotocopy","5,0","(2)","Warnet","·","Jl. Kyai H. Syahdan No.78, RT.7/RW.12","·","Tutup","· Buka Min pukul 10.00","0812-8481-0939","","","Rute","","","","",""
"https://www.google.com/maps/place/APIK+%28Copy+Center+%26+Digital+Printing%29/data=!4m7!3m6!1s0x2e69f6fb960f57e1:0xd948474b8e5bcc1a!8m2!3d-6.1845569!4d106.7780622!16s%2Fg%2F11f03yw5lb!19sChIJ4VcPlvv2aS4RGsxbjktHSNk?authuser=0&hl=id&rclk=1","APIK (Copy Center & Digital Printing)","5,0","(38)","Toko Alat Tulis","·","Jl. H. Sanusi Taming No.100 1, RT.2/RW.2","·","Tutup","· Buka Min pukul 08.00","0856-9240-8058","","","Rute","","","","Belanja di toko","Ambil di toko"
"https://www.google.com/maps/place/Assyifa+jaya+print/data=!4m7!3m6!1s0x2e69f735d91c87af:0xf4251a4a720c84f0!8m2!3d-6.2022498!4d106.7694519!16s%2Fg%2F11ksl0pmn0!19sChIJr4cc2TX3aS4R8IQMckoaJfQ?authuser=0&hl=id&rclk=1","Assyifa jaya print","5,0","(3)","Tukang Kunci","·","Jl. H. Domang Dalam, RT.6/RW.2","","","","0812-8820-7040","","","Rute","","","","",""
"https://www.google.com/maps/place/WARUNG+SAHABAT2+PRINT,FOTOCOPY,ATK%26PERCETAKAN./data=!4m7!3m6!1s0x2e69f7ae458d1647:0x6c2f7c017b3cfd95!8m2!3d-6.2032273!4d106.7795675!16s%2Fg%2F11v10rt9mk!19sChIJRxaNRa73aS4Rlf08ewF8L2w?authuser=0&hl=id&rclk=1","WARUNG SAHABAT2 PRINT,FOTOCOPY,ATK&PERCETAKAN.","5,0","(1)","Toko Fotokopi","·","Jl. Salam 3 No.7, RT.4/RW.6","","","","0857-7833-8059","","","Rute","","","","Layanan di tempat",""
"https://www.google.com/maps/place/Lowcost+Print+%26+Photocopy+ATK/data=!4m7!3m6!1s0x2e69f6c2f1e4aa81:0x701b988d4d9f0668!8m2!3d-6.199853!4d106.7846543!16s%2Fg%2F11dfgj38j9!19sChIJgark8cL2aS4RaAafTY2YG3A?authuser=0&hl=id&rclk=1","Lowcost Print & Photocopy ATK","4,4","(67)","Toko Alat Tulis Kantor","·","Jl. H. Sennin No.58c, RT.6/RW.12","·","Tutup","· Buka Min pukul 12.00","0852-7550-7141","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Warnet & sekaligus tempat","print"
"https://www.google.com/maps/place/Bandar+Print/data=!4m7!3m6!1s0x2e69f76b3257f2a3:0xd461a3db7a222bfc!8m2!3d-6.185778!4d106.7777622!16s%2Fg%2F11ngyp8_nm!19sChIJo_JXMmv3aS4R_CsietujYdQ?authuser=0&hl=id&rclk=1","Bandar Print","4,1","(23)","Layanan cetak digital","·","Jl. Kb. Raya 2 No.1, RT.7/RW.6","·","Tutup","· Buka Sen pukul 08.00","0811-9790-8558","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Print"
"https://www.google.com/maps/place/Vallenta+ink+print/data=!4m7!3m6!1s0x2e69f700384ee43d:0x990c6bbd5e142d9f!8m2!3d-6.2037571!4d106.7558742!16s%2Fg%2F11x25kcr5f!19sChIJPeROOAD3aS4Rny0UXr1rDJk?authuser=0&hl=id&rclk=1","Vallenta ink print","5,0","(2)","Jasa Reparasi Printer","·","Jl. H. Mandor Salim No.27, RT.1/RW.3","·","Buka 24 jam","","0895-0734-9200","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap dah sangat cepat servis printernya.""",""
"https://www.google.com/maps/place/Omega+Printing+Anggrek/data=!4m7!3m6!1s0x2e69f7767054bc0b:0xd9777809784f8204!8m2!3d-6.2021676!4d106.7791479!16s%2Fg%2F11g1mjgcw5!19sChIJC7xUcHb3aS4RBIJPeAl4d9k?authuser=0&hl=id&rclk=1","Omega Printing Anggrek","5,0","(10)","Layanan cetak digital","·","Jl. Anggrek Cakra No.9, RT.4/RW.6","Jam tangan dan perhiasan mewah Swiss","Tutup","· Buka Sen pukul 09.00","0852-1958-4242","","","Rute","","","","Layanan di tempat","Janji temu online"
"https://www.google.com/maps/place/Ar-Raihan+Photocopy+%26+Print+Centre/data=!4m7!3m6!1s0x2e69f6c32b76a6b9:0x5b7bd34a845b8efe!8m2!3d-6.2009869!4d106.7826911!16s%2Fg%2F11fqhsnv3x!19sChIJuaZ2K8P2aS4R_o5bhErTe1s?authuser=0&hl=id&rclk=1","Ar-Raihan Photocopy & Print Centre","5,0","(7)","Jl. Rw. Belong No.78B 6, RT.7/RW.12","","·","","Tutup","· Buka Min pukul 09.00","0857-7355-9062","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil lumayan bagus kerja,cepat.""",""
"https://www.google.com/maps/place/JASA+EDIT+SKRIPSI,WORD,DOKUMEN+DLL/data=!4m7!3m6!1s0x2e69f6c2df7eee2b:0xd79d90387e481614!8m2!3d-6.2009813!4d106.7826857!16s%2Fg%2F1hm3dbt4m!19sChIJK-5-38L2aS4RFBZIfjiQndc?authuser=0&hl=id&rclk=1","JASA EDIT SKRIPSI,WORD,DOKUMEN DLL","4,4","(19)","Pemasok peralatan percetakan","·","Jl. Kyai H. Syahdan No.78, RT.7/RW.12","Tutup","· Buka Min pukul 07.00","·","0877-8965-3397","https://www.google.com/search?q=JASA+EDIT+SKRIPSI+BINUS&source=lmns&stick=H4sIAAAAAAAA_-NgU1I1qDBKNbNMM0s2SkkzT01NNUqyMqhIMbdMsTQwtjBPNbEwNDM0WcQq7uUY7Kjg6uIZohDsHeQZEOyp4OTpFxoMAEZ-npZDAAAA&authuser=3&bih=616&biw=360&prmd=ivn&hl=id&sa=X&ved=2ahUKEwjU4ticprL8AhWqKbcAHXTkB54Q_AUoAHoECAAQBA#lpg=cid:CgIgAQ%3D%3D&wptab=si:AC1wQDAucy7H-VMlAQxLR0kUB4oSPiLoG226A20xOQCOsxIwA_HljCMC_n4YYV8qv9geLUWeajPpFL9HSxgIx4Gl_vv8KGHyKyVo5B9UMwNKBbkexPiMNL9GcLVat7iTaAVrauMXzpy920vdi1qMPHyzN6PKjKE0Qw%3D%3D&mpd=editprofile/info","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap editanya pelayanan ramah cepat rapih mantap deh pokoknya""",""
"https://www.google.com/maps/place/Print+dan+Fotocopy+Omega/data=!4m7!3m6!1s0x2e69f6c2fce47331:0x3ecdbc1f9154d94f!8m2!3d-6.2006173!4d106.7847417!16s%2Fg%2F11bx896mt4!19sChIJMXPk_ML2aS4RT9lUkR-8zT4?authuser=0&hl=id&rclk=1","Print dan Fotocopy Omega","2,9","(43)","Pemasok peralatan percetakan","·","·","6, Jl. H. Sennin No.24, RT.6/RW.12","Tutup","· Buka Sen pukul 07.00","0821-2563-5550","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pengerjaan cepat dan rapi 👍👍👍""",""
"https://www.google.com/maps/place/PRINT+KEMBAR+HARI/data=!4m7!3m6!1s0x2e69f746e488585b:0xe88b5054409604e4!8m2!3d-6.200879!4d106.7670385!16s%2Fg%2F11kx2_481q!19sChIJW1iI5Eb3aS4R5ASWQFRQi-g?authuser=0&hl=id&rclk=1","PRINT KEMBAR HARI","5,0","(1)","Toko Percetakan","·","Jl. T No.83 3, RT.3/RW.1","·","Tutup","· Buka Sen pukul 08.00","0812-1312-0670","","","Rute","","","","",""
"https://www.google.com/maps/place/Cometz+Printing+Center/data=!4m7!3m6!1s0x2e69f6dcbeaccf45:0xb929b660031bdcc1!8m2!3d-6.2025868!4d106.7809912!16s%2Fg%2F11f0kv7g82!19sChIJRc-svtz2aS4RwdwbA2C2Kbk?authuser=0&hl=id&rclk=1","Cometz Printing Center","4,0","(5)","Toko Percetakan","·","Jl. Anggrek Cakra No.14, RT.4/RW.6","","Tutup","· Buka Sen pukul 07.00","","","","Rute","","","","Pesan antar",""
"https://www.google.com/maps/place/Linda+Fotocopy+%26+Print/data=!4m7!3m6!1s0x2e69f6c3290b449f:0x1a6d783b9289ca7!8m2!3d-6.2008409!4d106.7831103!16s%2Fg%2F11f03y4xn8!19sChIJn0QLKcP2aS4Rp5wouYPXpgE?authuser=0&hl=id&rclk=1","Linda Fotocopy & Print","","","Layanan cetak digital","·","Jl. Kyai H. Syahdan No.13 7, RT.6/RW.12","","","","","","","Rute","","","","",""
"https://www.google.com/maps/place/Zenta+Copy+%26+Print+Binus+Anggrek+B+Floor/data=!4m7!3m6!1s0x2e69f6dceae25cc3:0xa900a6540f57d7c1!8m2!3d-6.2018547!4d106.7810033!16s%2Fg%2F11c88v0hk_!19sChIJw1zi6tz2aS4RwddXD1SmAKk?authuser=0&hl=id&rclk=1","Zenta Copy & Print Binus Anggrek B Floor","5,0","(4)","Toko Percetakan","·","Jl. Anggrek Cakra No.16, RT.2/RW.9","·","Tutup","· Buka Sen pukul 08.00","(021) 53660671","","","Rute","","","","",""
"https://www.google.com/maps/place/Papina+Store+-+jasa+cetak+print+DTF,+Banner,+Spanduk,+UV,+Tumbler+Terdekat+dan+Termurah/data=!4m7!3m6!1s0x2e69f7125f0ff55b:0x8edcb902790101db!8m2!3d-6.2077146!4d106.7739269!16s%2Fg%2F11rxymln9d!19sChIJW_UPXxL3aS4R2wEBeQK53I4?authuser=0&hl=id&rclk=1","Papina Store - jasa cetak print DTF, Banner, Spanduk, UV, Tumbler Terdekat dan Termurah","4,7","(67)","Printer Digital","·","Jl. Musa No.35, RT.7/RW.8","·","Segera tutup","· 00.00 · Buka Sen pukul 00.00","0857-1155-6641","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""cetak banner wisuda oke banget""",""
"https://www.google.com/maps/place/TIGA+SAUDARA+NET+%26+PRINT+CENTRE/data=!4m7!3m6!1s0x2e69f7b9c5f65e59:0x76c5f3890c62eaa5!8m2!3d-6.1997306!4d106.7606695!16s%2Fg%2F11gm7nyn74!19sChIJWV72xbn3aS4RpepiDInzxXY?authuser=0&hl=id&rclk=1","TIGA SAUDARA NET & PRINT CENTRE","5,0","(1)","Printer Digital","·","Pasar Pengampuan, Jl. Lapangan Bola Pasar Pengampuan, Jl. Lapangan Bola II No.1, RT.1/RW.7","·","Tutup","· Buka Min pukul 08.00","0813-1419-2730","","","Rute","","","","Layanan di tempat",""
"https://www.google.com/maps/place/Mawar+Print/data=!4m7!3m6!1s0x2e69f7a6d0908baf:0xaa9aff6965ce0ef1!8m2!3d-6.1968075!4d106.7700533!16s%2Fg%2F11g1dx7vd_!19sChIJr4uQ0Kb3aS4R8Q7OZWn_mqo?authuser=0&hl=id&rclk=1","Mawar Print","5,0","(7)","Pemasok Pakaian","·","Jl. Komp. BPK III No.C20 2, RT.1/RW.11","·","Tutup","· Buka Sen pukul 09.00","0877-7160-5592","","","Rute","","","","",""
"https://www.google.com/maps/place/Sublim+Print/data=!4m7!3m6!1s0x2e69f718890fffff:0x2a5bbf8d6d87c6db!8m2!3d-6.1980683!4d106.7619365!16s%2Fg%2F11tcl_4cdj!19sChIJ__8PiRj3aS4R28aHbY2_Wyo?authuser=0&hl=id&rclk=1","Sublim Print","","","Pencetak Layar","·","Jl. Meruya Ilir Raya No.88, RT.1/RW.5","","","","(021) 22584171","","","Rute","","","","",""
"https://www.google.com/maps/place/SNAPY+digital+printing+%26+fotocopy+jakarta+barat+-+tanjung+duren/data=!4m7!3m6!1s0x2e69f659157e4bdf:0x23d0111637d08e4d!8m2!3d-6.1823038!4d106.7834277!16s%2Fg%2F1hc72nbv9!19sChIJ30t-FVn2aS4RTY7QNxYR0CM?authuser=0&hl=id&rclk=1","SNAPY digital printing & fotocopy jakarta barat - tanjung duren","4,6","(1.221)","Toko Percetakan","·","·","Tutup","· Buka Min pukul 12.00","Ruko Cemara Central, Jl. Tanjung Duren Raya No.71","0819-1311-2345","https://www.snapy.co.id/branch/snapy-tanjung-duren","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fast response dan hasil","print"
"https://www.google.com/maps/place/Mari+printing+Garuda+24+jam/data=!4m7!3m6!1s0x2e69f7e5b054cc0f:0x390517a1d4b78a05!8m2!3d-6.1946952!4d106.7949869!16s%2Fg%2F11vbbg17kr!19sChIJD8xUsOX3aS4RBYq31KEXBTk?authuser=0&hl=id&rclk=1","Mari printing Garuda 24 jam","5,0","(39)","Layanan cetak digital","·","Jl anggrek Garuda raya blok H 10","·","Buka 24 jam","","0889-0878-0078","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat yg paling pas untuk melakukan kegiatan  printing""",""
"https://www.google.com/maps/place/RC+Printing+Textile+%7C+Print+Kain+Jakarta/data=!4m7!3m6!1s0x2e69f7f9b7f1416f:0x6c60b8c9ea2683ad!8m2!3d-6.2049043!4d106.7772125!16s%2Fg%2F11kpk7534d!19sChIJb0Hxt_n3aS4RrYMm6sm4YGw?authuser=0&hl=id&rclk=1","RC Printing Textile | Print Kain Jakarta","3,0","(2)","Layanan cetak digital","·","Jl. Salam Raya No.66","Tutup","· Buka Sen pukul 09.00","·","0821-8173-0505","http://rcprintingtextile.com/","","Situs Web","","Rute","","",""
"https://www.google.com/maps/place/Metro+Sticker+%7C+Print+%26+Cut/data=!4m7!3m6!1s0x2e69f7d62122f799:0x927ca2c35824aa18!8m2!3d-6.1967344!4d106.7548127!16s%2Fg%2F11y99r8nxh!19sChIJmfciIdb3aS4RGKokWMOifJI?authuser=0&hl=id&rclk=1","Metro Sticker | Print & Cut","","","Pabrik stiker","·","Near, Jl. Meruya Ilir Raya, RT.1/RW.3","·","Buka 24 jam","","0852-8375-5526","","","Rute","","","","",""
"https://www.google.com/maps/place/Kampung+CMYK+%7C+Printing+24+Jam/data=!4m7!3m6!1s0x2e69f7a623416477:0x7f435413bef88f32!8m2!3d-6.1951548!4d106.7946856!16s%2Fg%2F11y3m99pjz!19sChIJd2RBI6b3aS4RMo_4vhNUQ38?authuser=0&hl=id&rclk=1","Kampung CMYK | Printing 24 Jam","4,9","(34)","Layanan cetak digital","·","Jl. Anggrek Rosliana VII H No.109, RT.1/RW.5, RT.1/RW.5","·","Segera tutup","· 00.00 · Buka Sen pukul 00.00","0851-5526-9935","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap sekali saya","print"
"https://www.google.com/maps/place/Nadhif+Print/data=!4m7!3m6!1s0x2e69f6ee3e45e92b:0x96288417378b0739!8m2!3d-6.1889957!4d106.7867341!16s%2Fg%2F11bz_0rp4z!19sChIJK-lFPu72aS4ROQeLNxeEKJY?authuser=0&hl=id&rclk=1","Nadhif Print","4,8","(13)","Toko Elektronik","·","Jl. Kemanggisan Utama Raya, RT.2/RW.7","·","Tutup","· Buka Min pukul 08.00","0821-1243-3736","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantabs ..penjualnya ramah sekali""",""
"https://www.google.com/maps/place/3Q+PRINT+SDN+BHD/data=!4m7!3m6!1s0x2e69f7c3ecdee459:0x187a5732d84bad2!8m2!3d-6.1951581!4d106.7686355!16s%2Fg%2F11v0l42hzr!19sChIJWeTe7MP3aS4R0rqELXOlhwE?authuser=0&hl=id&rclk=1","3Q PRINT SDN BHD","","","Pabrikan perangkat keras komputer","·","GALLERY WEST OFFICE TOWER, Jl. Panjang Pitt Street No.5 9TH FLOOR","Tutup","· Buka Sen pukul 09.00","·","+60 18-969 7922","http://www.3qprint.my/","","Situs Web","","Rute","","",""
"https://www.google.com/maps/place/Copas+print/data=!4m7!3m6!1s0x2e69f797f67c1ec7:0x96e1404502e7dfb!8m2!3d-6.1824655!4d106.7651183!16s%2Fg%2F11ks075yzf!19sChIJxx589pf3aS4R-30uUAQUbgk?authuser=0&hl=id&rclk=1","Copas print","5,0","(2)","Gudang","·","Jl. Kedoya Duri Raya No.13, RT.13/RW.1","","","","","","","Rute","","","","",""
"https://www.google.com/maps/place/HARMA+DIGITAL+PRINT/data=!4m7!3m6!1s0x2e69f751e61d0b0b:0xc97a40cd9e11d43!8m2!3d-6.2065622!4d106.7696201!16s%2Fg%2F11sx6w2ddw!19sChIJCwsd5lH3aS4RQx3h2Qyklww?authuser=0&hl=id&rclk=1","HARMA DIGITAL PRINT","5,0","(5)","Industri Percetakan","·","Jl. Panjang Arteri Klp. Dua Raya No.13, RT.2/RW.2","","Tutup","· Buka Sen pukul 08.30","","","","Rute","","","","",""
